ccaa,provincia,municipio,id,codigo_ine,titularidad,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,foto_2,foto_3,participante,revision
Comunidad de Madrid,Madrid,Perales De Tajuña,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia A-3 (Madrid-Levante) Km. 37,870",-3.350278,40.249833,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Perales De Tajuña,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Autovia A-3 Km. 43,3",-3.318806,40.207361,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Villarejo De Salvanés,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia A-3 Km. 49,3",-3.285472,40.167722,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Fuentidueña De Tajo,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Autovia A-3 Km. 62,5",-3.152778,40.120278,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Getafe,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia A-4 Km. 14,3",-3.692278,40.297028,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Navalcarnero,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Autovia A-5 Km. 28,6",-3.981139,40.293194,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,La Serna Del Monte,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",Autovia A-I Km. 81,-3.617861,41.040139,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Venturada,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autovia E-5/A-1 Km. 49,-3.617222,40.793611,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Colmenar Del Arroyo,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia M-501 Km. 34,1",-4.170417,40.381917,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Lozoyuela-Navas-Sieteiglesias,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autovia N-1 Km. 65,-3.608389,40.904694,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perico,NA
Comunidad de Madrid,Madrid,Aranjuez,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia N-Iv Km. 48,700",-3.645278,40.02075,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perico,NA
Cataluña,Barcelona,Molins De Rei,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","A-2 Km 8,000",2.024121,41.391917,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perico,NA
Cataluña,Barcelona,Sant Boi De Llobregat,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Acceso Aeropuerto De Barcelona, Lado Aire, S/N",2.059222,41.293806,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Santpedor,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Acceso Ctra, 4",1.851972,41.779139,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Mataró,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Alfonso X El Sabio, S/N,",2.449306,41.545472,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Barcelona,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Almogavares, 66",2.186482,41.394195,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Llinars Del Vallès,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",Autopista Ap 7 Km. 117,2.425611,41.647972,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Cerdanyola Del Vallès,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autopista Ap-7 (Mrg.dcho.) Km. 151,2.099,41.492944,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Castellbisbal,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autopista Ap-7 Km 165,5 Km. 165,5",1.978,41.468167,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Santa Perpètua De Mogoda,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autopista Ap-7 Km. 144,2.168083,41.526139,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Cubelles,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autopista Autopista C-32 (Pau Casal) Km. 16,75",1.675722,41.222472,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Montcada I Reixac,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Autopista C- 33 Km. 82,5",2.191417,41.495222,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Terrassa,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autopista C-58 Km. 17,2",2.050611,41.543139,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Teià,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autopista C32 Km. 89,2.333917,41.493028,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Jorba,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",Autovia A-2 Km 543    Margen Derecho Km.,1.509722,41.618806,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Cataluña,Barcelona,El Bruc,NA,,Pública,Residencial,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autovia A-2 Km. 567,1.750611,41.593778,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Tordera,NA,,Pública,Residencial,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia A-2 Km. 680,9",2.723667,41.693972,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Jorba,NA,,Pública,Complejo hotelero,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",Autovia Autovia A-2 Km. 545,1.54075,41.602306,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
Cataluña,Barcelona,Sant Fruitós De Bages,NA,,Pública,Complejo hotelero,No,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Autovia C 16 , 35,6 Km. 35,6",1.881472,41.773139,NA,https://drive.google.com/file/d/1Wez9fUrHqZmP_HnQigh5OoHEXJSJFlG2/view?usp=share_link,https://drive.google.com/file/d/1UaeOf3tBDNXRFqvwdMnGAI_zummZUxT9/view?usp=share_link,https://drive.google.com/file/d/15I1Dhz7SZ2Y9cPp6Id5UdCsiUTvV9q21/view?usp=share_link,Perica,NA
Comunidad Valenciana,Valencia/València,Montesa,NA,,Pública,Complejo hotelero,No,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",A-35 Km 39,-0.629028,38.954306,NA,https://drive.google.com/file/d/1CXnsp7TRdz5z-OIF7sdVQGlYd-n6tzR4/view?usp=share_link,https://drive.google.com/file/d/1X-GxXYbkgDjfmbrN0tOZ6jg0-ETNH03F/view?usp=share_link,https://drive.google.com/file/d/1GTd4dXMNjya-qGgTKZ6M50zuOW4d1LKi/view?usp=share_link,Perica,NA
