destacado,ccaa,provincia,municipio,mostrar,id,nombre,codigo_ine,titularidad,derribo,doble_titu,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,fuente_1,foto_2,fuente_2,foto_3,fuente_3,participante,anadido
,País Vasco,Vizcaya,Lemoiz,true,4805601,Central nuclear de Lemoiz,48056,Pública,,false,Infraestructuras,Sin uso,"La central nuclear de Lemóniz que sufrió la oposición de la banda terrorista ETA, que llegó a matar a varias personas en sus atentados contra el proyecto y lo saboteó cientos de veces. El complejo nunca llegó a ponerse en marcha ​debido a la moratoria nuclear aprobada por el gobierno de Felipe González en el año 1984. En 2017 se habló de la posibilidad de <a href=""https://www.rtve.es/play/audios/espanoles-en-la-mar/espanoles-mar-lemoniz-central-nuclear-abandonada-puede-convertirse-gran-piscifactoria-10-11-17/4302441/"" target=""_blank"">reconvertirla en una piscifactoría</a>, como explicaron en <i>Españoles en la mar</i>, de RNE. Dos años después, el Ministerio para la Transición Ecológica <a href=""https://www.miteco.gob.es/es/prensa/ultimas-noticias/el-ministerio-aprueba-la-orden-por-la-que-se-ceden-los-terrenos-emplazamientos-e-instalaciones-de-la-central-nuclear-de-lem%C3%B3niz-a-la-comunidad-a/tcm:30-502838"" target=""_blank"">aprobó la cesión</a> de los terrenos, emplazamientos e instalaciones de la central nuclear al Gobierno vasco.","BI-3151, 48620",43.4334374,-2.876227,"https://www.google.com/maps/@43.4334374,-2.876227,3a,75y,89.86h,89.46t/data=!3m6!1e1!3m4!1s1y4LstltuQEsVYJQWnNDyw!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/lemoniz_1.jpg,Luis Tejido (EFE),,,,,Enrique Sánchez,Previo al lanzamiento del proyecto
,Extremadura,Badajoz,Valdecaballeros,true,0613701,Central nuclear de Valdecaballeros,06137,Pública,,false,Infraestructuras,Sin uso,"Se trata de una central nuclear que, con la moratoria nuclear del PSOE de 1984, nunca se llegó a usar porque su construcción, iniciada en 1975, no se terminó. El Gobierno central ha dado orden para demoler la presa que se construyó para refrigerar sus reactores, algo que no se ha sentado bien ni a los Ayuntamientos cercanos (Valdecaballeros y Castilblanco) ni a la Junta de Extremadura, tal y como explicaban desde el <a href=""https://www.rtve.es/play/videos/noticias-de-extremadura/21-03-2023/6839180/"" target=""_blank"">Centro Territorial de Extremadura de RTVE</a>. Las imágenes de Google Maps son de abril de 2011.","Paraje Valdecaballeros, 06689",39.2852369,-5.1800067,"https://www.google.com/maps/@39.2852369,-5.1800067,3a,75y,1.34h,97.21t/data=!3m7!1e1!3m5!1sinaVno3cQIK92Xy-1FTzPA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DinaVno3cQIK92Xy-1FTzPA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D340.8807%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/valdecaballeros_1.jpg,Mario Ramos (EFE),https://rtve.es/contenidos/fotos/datos/2023/hormigon/valdecaballeros_12.jpg,Mario Ramos (EFE),,,Manuel Pozo,Previo al lanzamiento del proyecto
,Comunidad de Madrid,Comunidad de Madrid,Leganés,true,2807401,Centro Cívico Municipal,28074,Pública,,false,Otros,Sin uso,"El Centro Cívico Municipal comenzó a construirse en 2010, tal y como se recoge en la <a href=""https://avleganesnorte.wordpress.com/2010/04/03/por-fin-empiezan/"" target=""_blank"">web de la Asociación Vecinal de Leganés Norte</a>. La obra debía estar acabada un año más tarde, según explican en <a href=""http://www.dleganes.net/2017/03/la-mala-gestion-de-ppsoe-iucm-en-los.html"" target=""_blank""><i>DLEGANÉS</i></a>.La misma entidad vecinal <a href=""https://avleganesnorte.wordpress.com/2021/01/28/alegaciones-presentadas-a-los-presupuestos-municipales-2021-seguimos-castigados-no-hay-inversiones-para-leganes-norte/"" target=""_blank"">presentaba en 2021 alegaciones</a> sobre este y otros proyectos inacabados en la localidad madrileña.","Calle Gabriela Mistral 6, 28919",40.344029,-3.7459893,"https://www.google.es/maps/@40.344029,-3.7459893,3a,75y,82.11h,93.84t/data=!3m6!1e1!3m4!1sVv13saaByqs0HfzIWG7OGg!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/leganes_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/leganes_12.jpg,,,,Jaime Gutiérrez,Previo al lanzamiento del proyecto
,Comunidad Valenciana,Valencia,Alzira,true,4601701,Centro comercial Vilella,46017,Privada,,false,Comercial/ocio,Sin uso,"Vecinos del municipio comentan que ese espacio iba a estar destinado para el futuro Centro Comercial Vilella, pero que finalmente el edificio no se construyó en su totalidad debido a la falta de inversión, tal y como recogía en 2010 el medio <a href=""https://www.elseisdoble.com/vernoticia/4897/los_promotores_del_centro_comercial_vilella_en_alzira_abandonan_definitivamente_el_proyecto"" target=""_blank""><i>elseisdoble.com</i></a>. En 2022, según <a href=""https://www.levante-emv.com/ribera/2022/10/25/consell-respalda-almacenar-agua-vilella-77703043.html"" target=""_blank""><i>Levante</i></a>, la federación de vecinos buscaba el apoyo del director general del Agua para que la parcela donde se haya la estructura, ahora propiedad de la Sareb, funcione como almacén de agua para evitar inundaciones.","CV-571 16, 46600",39.1417604,-0.4372937,"https://www.google.com/maps/@39.1417604,-0.4372937,3a,75y,78.82h,90.48t/data=!3m6!1e1!3m4!1sZNHjCdGVAtI67IWp5-Na0Q!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/alzira_1.jpg,Gema Pellicer y María Pellicer,,,,,Cadáveres inmobiliarios,Previo al lanzamiento del proyecto
,Región de Murcia,Región de Murcia,Torre-Pacheco,true,3003702,Centro de control de la contaminación atmosférica,30037,Pública,,false,Otros,Sin uso,"Se trata de una construcción desarrollada por la Región de Murcia pensada para agrupar los dispositivos de análisis y previsión de la calidad del aire que nunca se puso en funcionamiento. La obra data de 2010 y fuentes del Ayuntamiento de Torre-Pacheco apuntan a que rehabilitarlo costaría un millón de euros, ya que el abandono y la falta de vigilancia, así como algunos actos de vandalismo, han acelerado su deteriorola. Desde el consistorio llevan años pidiendo que se ceda al Instituto Gerardo Molina para que cuentan con más espacio para el alumnado, <a href=""https://www.murcia.com/torrepacheco/noticias/2021/11/03-abandono-del-centro-de-control-de-la-contaminacion-atmosferica-de-torre-pacheco.asp"" target=""_blank"">tal y como se recoge en <i>Murcia.com</i></a>.",30700,37.741559891717436,-0.9678042861428098,"https://www.google.com/maps/@37.7424533,-0.9666056,3a,36.2y,225.69h,92.67t/data=!3m6!1e1!3m4!1sy98l6lmm-i9ksqfGmdCRmQ!2e0!7i13312!8i6656?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrepacheco_2.jpg,Ayuntamiento Torre-Pacheco,https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrepacheco_21.jpg,Ayuntamiento Torre-Pacheco,https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrepacheco_22.jpg,Ayuntamiento Torre-Pacheco,Ayuntamiento Torre-Pacheco,08/06/2023
,Comunidad de Madrid,Comunidad de Madrid,Alcorcón,true,2800701,Centro de Creación de las Artes de Alcorcón (CREAA),28007,Pública,,false,Otros,Sin uso,"Iba a ser el Centro de Creación de las Artes de Alcorcón (CREAA). En 2023, si el PSOE gana las elecciones, se pretende acabarlo y habilitar un espacio contra la violencia de género, según aclara el medio <a href=""https://alcorconhoy.com/creaa-alcorcon-mas-cerca-convertirse-en-ciudad-audiovisual"" target=""_blank""><i>alcorconhoy.com</i></a>.","Av. de la Libertad s/n, 28925",40.3514669,-3.8065464,"https://www.google.com/maps/@40.3514669,-3.8065464,3a,75y,28.02h,90.55t/data=!3m6!1e1!3m4!1s8IEabplRvpI3Nfkj74EaSw!2e0!7i16384!8i8192?hl=es",https://rtve.es/contenidos/fotos/datos/2023/hormigon/alcorcon_1.jpg,Silvia Quílez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/alcorcon_12.jpg,Jaime Gutiérrez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/alcorcon_13.jpg,Jaime Gutiérrez,Isabel Nieves Terán,Previo al lanzamiento del proyecto
,Galicia,Ourense,Ourense,true,3205401,Centro de Interpretación de los Parques Naturales de Galicia,32054,Pública,,false,Otros,Sin uso,"El que iba a ser el Centro de Interpretación de los Parques Naturales de Galicia, ubicado en Ourense, lleva años esperando a su demolición, tal y como recoge <a href=""https://www.lavozdegalicia.es/noticia/ourense/ourense/2022/01/29/gobierno-ourensano-urge-derribo-centro-interpretacion-parques-naturales/00031643454928600135514.htm"" target=""_blank""><i>La Voz de Galicia</i></a>. Las imágenes en Google Maps, de agosto de 2022, confirman que aún sigue en pie. Fue proyectado por Pachi Vázquez cuando era conselleiro de Medio Ambiente en la Xunta, pero la obra lleva paralizada desde 2012. Vecinos de la zona comentan que afea el entorno de las termas públicas de Muíño da Veiga, muy próximas, y que lo único que ha cambiado en estos años son los grafitis que adornan el lugar.","Tr.ª da Vía Vella, 32001",42.3523346,-7.9069084,"https://www.google.com/maps/@42.3523346,-7.9069084,3a,75y,329.35h,82.66t/data=!3m6!1e1!3m4!1srTiBItQFwzWdNklVJHKSjw!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/ourense_1.jpg,Gabriel Figueroa (CT Galicia),https://rtve.es/contenidos/fotos/datos/2023/hormigon/ourense_12.jpg,Gabriel Figueroa (CT Galicia),https://rtve.es/contenidos/fotos/datos/2023/hormigon/ourense_13.jpg,Gabriel Figueroa (CT Galicia),DatosRTVE,Previo al lanzamiento del proyecto
,Navarra,Navarra,Artica (Berrioplano/Berriobeiti),true,3190201,Centro de negocios,31902,Privada,,false,Comercial/ocio,Sin uso,"Según <a href=""https://www.noticiasdenavarra.com/navarra/2021/06/02/berrioplano-contara-residencia-mayores-2136240.html"" target=""_blank""><i>Noticias de Navarra</i></a>, la estructura iba a albergar un centro de negocios con distintas oficinas, que fracasó por la crisis en 2008 y no se llegó a usar. En 2021 se pensó que podría albergar una residencia para mayores y, posteriormente, un espacio para trasteros, según apuntaban en <a href=""https://www.diariodenavarra.es/noticias/navarra/pamplona-comarca/2023/03/09/descartan-residencia-planteada-artica-proponen-trasteros-560878-1002.html"" target=""_blank""><i>Diario de Navarra</i></a>. Desde el consistorio aseguran que aún no hay una decisión clara sobre ninguno de los dos proyectos.","Calle Madres de la Plaza de Mayo, Polígono Sector Mogotes, 31013",42.8341975,-1.6630439,"https://www.google.com/maps/@42.8341975,-1.6630439,3a,75y,61.5h,98.83t/data=!3m6!1e1!3m4!1s2_wIWaTcPIFMpQ8NPF_GYA!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/artica_1.jpg,Centro Territorial RTVE Navarra,https://rtve.es/contenidos/fotos/datos/2023/hormigon/artica_12.jpg,Centro Territorial RTVE Navarra,https://rtve.es/contenidos/fotos/datos/2023/hormigon/artica_13.jpg,Centro Territorial RTVE Navarra,DatosRTVE,Previo al lanzamiento del proyecto
,Castilla y León,Burgos,Cardeñadijo,true,0907301,Centro de salud en Cardeñadijo,09073,Pública,,false,Otros,Sin uso,"El centro de salud, junto a la casa consistorial y el polideportivo, fueron proyectados en 2003 por la UTE MD Proycon y la Promotora Santa Catalina en suelo cedido por el municipio. No obstante, el Ayuntamiento de Cardeñadijo nunca los recepcionó y no se llegaron a usar; varios cargos del consistorio fueron acusados de prevaricación y falsificación documental, aunque fueron absueltos. Finalmente, en marzo de 2023, han pasado a ser edificios públicos y serán reparados para darles un nuevo uso, según explican desde <a href=""https://www.diariodeburgos.es/amp/noticia/z5a710fd9-d96d-9d96-31a034df4813f22f/202303/cardenadijo-reparara-tres-edificios-abandonados"" target=""_blank""><i>Diario de Burgos</i></a>. Su uso cambiará y pasará a ser una escuela infantil. Las imágenes más recientes disponibles en Google Maps son de octubre de 2013.","Calle el Carmen, 09196",42.2993462,-3.6676998,"https://www.google.com/maps/@42.2993462,-3.6676998,3a,75y,215.61h,94.74t/data=!3m6!1e1!3m4!1sRHKqTAgCbwB7mdShckkhmA!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,A. B. P. V.,Previo al lanzamiento del proyecto
,Castilla y León,Valladolid,Villavieja del Cerro (Tordesillas),true,4716501,Complejo de Aventuras Meseta Ski,47165,Privada,,false,Deportivo,Sin uso,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. Las imágenes de satélite de Google Maps, de julio de 2012, permiten ver parte de la pista proyectada para el Complejo de Aventuras Meseta Ski, que en 2015 también adquirió el nombre de Meseta Sport. En 2022, según recoge <a href=""https://www.lavanguardia.com/vida/20220218/8066460/audiencia-valladolid-reabre-caso-meseta-ski.html"" target=""_blank""><i>La Vanguardia</i></a>, la Audiencia de Valladolid ordenó la reapertura de las diligencias penales por los delitos de prevaricación presuntamente cometidos por cinco responsables y funcionarios de la Diputación de Valladolid en relación a la construcción del complejo.","Calle Nueva 9, 47113",41.5322913,-5.0387246,"https://www.google.com/maps/@41.5322913,-5.0387246,3a,75y,278.28h,96.12t/data=!3m6!1e1!3m4!1swmu4UtC40KpUeTTPbvdwQQ!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/villaviejacerro_1.jpg,Blanca Ortega,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Andalucía,Sevilla,Guillena,true,4104901,Complejo Residencial Lomas de Guillena,41049,Privada,,false,Residencial,Sin uso,"Distintas inmobiliarias ofrecen chalets en la zona. Según su información, se trata de una promoción ""detenida"", compuesta por 66 viviendas unifamiliares, con una ejecutación de obra del 23%. Las imágenes de Google Maps, de abril de 2022, muestran que continúan abandonadas. Desde el Ayuntamiento confirman que el estado de esa zona continúa igual y que ese plan urbanístico ya no está vigente, pero que en 2021 se ha creado uno nuevo, aún en fase muy inicial.","Calle Concepción Soto 147, 41219",37.5829346,-6.1110443,"https://www.google.com/maps/@37.5829346,-6.1110443,3a,75y,273.46h,99.62t/data=!3m6!1e1!3m4!1s2cTV426O36KRYK2_a-Gc_Q!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,Cadáveres inmobiliarios,Previo al lanzamiento del proyecto
,Cataluña,Girona,Figueres,true,1706601,Construcción en Figueres,17066,Privada,,false,Residencial,Sin uso,"Según la información proporcionada por la Unidad Informativa de Girona de RTVE, se trata de una construcción que comenzó en la época de la burbuja inmobiliaria y que actualmente es propiedad de una entidad bancaria. Las imágenes de Google Maps permiten comprobar que en septiembre de 2012 parecía acabado, pero fuentes del Ayuntamiento de Figueres confirman que aún faltaban puertas y ventanas. Las imágenes más recientes de Google Maps, de noviembre de 2022, revelan que está vandalizado, tal y como afirman desde el consistorio, que comentan que se ha utilizado para fiestas ilegales.","Calle de Ponent, 17600",42.2589229,2.9582803,"https://www.google.com/maps/@42.2589229,2.9582803,3a,75y,264.56h,103.21t/data=!3m6!1e1!3m4!1sPvS-R7fqCgFQQhL2V6Umsg!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,Centro Territorial RTVE Cataluña (Unidad informativa Girona),Previo al lanzamiento del proyecto
